OBJECTID,AddressPtID,StreetName,AddressNumber,Fractional,Unit,Building,SubAddressFlag,RouteExternalKey,ZipCode,City,State,X,Y,Address,FullNumber,UnitID,created_user,created_date,last_edited_user,last_edited_date,County,StateAbbr,ADD_TYPE
104643,58043498.0,E IVY HILL LN,2003,,,,,,92867,ORANGE,California,-117.83314454,33.83584608,2003 E IVY HILL LN    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
421143,86029680.0,SHADY CREEK LN,5550,,,,,,92887,YORBA LINDA,California,-117.69402105,33.87945857,5550 SHADY CREEK LN    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
370941,32081918.0,CONNECTICUT,7,,,,,,92606,IRVINE,California,-117.79430468,33.71094889,7 CONNECTICUT    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
692620,30036120.0,KINER AVE,8131,,,,,,92646,HUNTINGTON BEACH,California,-117.98647427,33.69807045,8131 KINER AVE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
338957,58046828.0,N RIVER TRAIL RD,2395,,,,,,92865,ORANGE,California,-117.86362642,33.82804231,2395 N RIVER TRAIL RD    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
643686,92718826.0,CONTESSA,1733,,,10,,,92620,IRVINE,California,-117.76248549,33.68815467,1733 CONTESSA   10 ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
492552,92938797.0,ACACIA PKWY,11441,,122,,,,92840,GARDEN GROVE,California,-117.93308989,33.77628241,11441 ACACIA PKWY    122,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
438413,72011717.0,VIA TONADA,32021,,,,,,92675,SAN JUAN CAPISTRANO,California,-117.66651235,33.49704581,32021 VIA TONADA    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
687559,91168851.0,FERN AVE,10375,,B,,UNIT,1184524.0,90680,STANTON,California,-117.99001746,33.81263302,10375 FERN AVE  UNIT  B,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
112373,74302951.0,W 1ST ST,4702,,A,,UNIT,,92703,SANTA ANA,California,-117.93129445,33.74464923,4702 W 1ST ST  UNIT  A,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
99163,92761895.0,CALLE ARAGON,45,,O,,,1109454.0,92637,LAGUNA WOODS,California,-117.71204297,33.60684249,45 CALLE ARAGON    O,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
797434,52055717.0,PEDROSO,21552,,,,,,92691,MISSION VIEJO,California,-117.65641006,33.64984731,21552 PEDROSO    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
619858,32222575.0,PIEDMONT,416,,,,,,92620,IRVINE,California,-117.74365596,33.69981776,416 PIEDMONT    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
378681,42035192.0,CAMINO DEL MAR,25132,,H,,UNIT,,92677,LAGUNA NIGUEL,California,-117.69112754,33.55411478,25132 CAMINO DEL MAR  UNIT  H,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1157553,92779216.0,FARRA ST,10,,,,,,92694,Rancho Mission Viejo,California,-117.62278027,33.52874521,10 FARRA ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
811194,91925147.0,MARGUERITE PKWY,21622,,468,38,UNIT,1160696.0,92692,MISSION VIEJO,California,-117.64325908,33.65065664,21622 MARGUERITE PKWY  UNIT 38 468,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
510791,54076250.0,33RD ST,123,,1,,UNIT,,92663,NEWPORT BEACH,California,-117.93339823,33.6151821,123 33RD ST  UNIT  1,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
967525,91542134.0,ORANGETHORPE AVE,5600,,2408,24,APT,,90623,LA PALMA,California,-118.0372436,33.85745841,5600 ORANGETHORPE AVE  APT 24 2408,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
460919,92947403.0,ADRIAN ST,12122,,207,7,APT,,92840,GARDEN GROVE,California,-117.90480117,33.78672093,12122 ADRIAN ST  APT 7 207,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
998999,12026434.0,S NUTWOOD ST,628,,,,,,92804,ANAHEIM,California,-117.95002586,33.82390537,628 S NUTWOOD ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
139328,91413750.0,VIA MEDIA,26,,,,SPC,,92780,TUSTIN,California,-117.8272613,33.73682445,26 VIA MEDIA  SPC  ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
51447,92689347.0,WESTMINSTER MALL,200,,,,,,92683,WESTMINSTER,California,-118.01230724,33.74621531,200 WESTMINSTER MALL    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
494372,92719416.0,PENDIO,2317,,,10,,,92620,IRVINE,California,-117.76357747,33.68508141,2317 PENDIO   10 ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
324198,40014998.0,WILKES PL,25122,,,,,,92653,LAGUNA HILLS,California,-117.69747922,33.59744157,25122 WILKES PL    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1154848,92904643.0,ALIENTA LN,274,,,4,,1189100.0,92675,Rancho Mission Viejo,California,-117.59811851,33.54888993,274 ALIENTA LN   4 ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
